Date,Open,High,Low,Close,Adj Close,Volume
2019-01-25,84.699997,85.169998,83.550003,84.139999,84.139999,4745100
2019-01-28,83.169998,85.199997,83.099998,84.599998,84.599998,2762400
2019-01-29,84.699997,85.760002,84.599998,85.669998,85.669998,2273900
2019-01-30,85.900002,87.970001,85.550003,87.470001,87.470001,2541300
2019-01-31,87.559998,88.150002,86.790001,87.269997,87.269997,3762700
2019-02-01,87.209999,88.570000,87.169998,87.489998,87.489998,1824200
2019-02-04,87.470001,88.629997,87.279999,88.620003,88.620003,2377400
2019-02-05,88.720001,89.820000,88.620003,89.459999,89.459999,3083700
2019-02-06,89.139999,89.879997,88.410004,89.750000,89.750000,2205400
2019-02-07,89.330002,89.839996,87.669998,87.860001,87.860001,3165300
2019-02-08,87.339996,88.190002,86.660004,88.169998,88.169998,2197500
2019-02-11,88.860001,89.449997,88.169998,89.150002,89.150002,2348900
2019-02-12,89.889999,90.269997,87.879997,87.970001,87.970001,2798500
2019-02-13,88.279999,88.900002,87.940002,88.580002,88.580002,3680100
2019-02-14,88.269997,88.739998,87.500000,88.150002,88.150002,1482600
2019-02-15,89.349998,89.349998,88.110001,88.309998,88.309998,2230300
2019-02-19,87.870003,89.820000,87.820000,89.239998,89.239998,2224200
2019-02-20,88.279999,89.239998,87.290001,88.500000,88.500000,3151000
2019-02-21,88.370003,89.449997,88.250000,88.839996,88.839996,2132500
2019-02-22,88.940002,89.650002,88.650002,89.430000,89.430000,1907600
2019-02-25,90.050003,90.599998,89.379997,89.580002,89.580002,2395000
2019-02-26,89.570000,90.930000,89.040001,89.529999,89.529999,4089400
2019-02-27,88.919998,89.260002,86.839996,87.599998,87.599998,2466700
2019-02-28,87.900002,88.699997,87.220001,87.809998,87.809998,2300000
2019-03-01,88.459999,88.620003,85.370003,86.919998,86.919998,3699400
2019-03-04,87.099998,87.239998,83.269997,84.309998,84.309998,4094500
2019-03-05,84.639999,85.720001,83.820000,85.050003,85.050003,2848200
2019-03-06,84.889999,85.680000,84.269997,84.330002,84.330002,2544100
2019-03-07,83.980003,84.199997,81.949997,82.610001,82.610001,4565700
2019-03-08,81.989998,82.900002,81.620003,82.400002,82.400002,2316800
2019-03-11,81.940002,82.529999,81.739998,82.379997,82.379997,5140500
2019-03-12,82.669998,82.910004,79.589996,79.849998,79.849998,6055300
2019-03-13,80.500000,81.400002,79.879997,81.209999,81.209999,3450300
2019-03-14,81.199997,82.059998,81.089996,81.489998,81.489998,1816200
2019-03-15,81.760002,82.480003,81.379997,81.690002,81.690002,4860300
2019-03-18,81.389999,81.739998,80.500000,80.730003,80.730003,2780200
2019-03-19,80.930000,81.860001,80.750000,81.339996,81.339996,2390400
2019-03-20,81.180000,81.400002,79.790001,79.830002,79.830002,4660700
2019-03-21,80.290001,81.459999,79.690002,81.000000,81.000000,2330500
2019-03-22,80.639999,80.769997,78.750000,79.629997,79.629997,3160000
2019-03-25,79.680000,80.010002,78.089996,78.120003,78.120003,4731400
2019-03-26,78.459999,78.820000,77.019997,77.489998,77.489998,3061400
2019-03-27,77.540001,79.570000,77.500000,78.529999,78.529999,2371500
2019-03-28,78.989998,79.290001,77.779999,78.599998,78.599998,1563100
2019-03-29,79.050003,80.050003,78.580002,79.779999,79.779999,2449900
2019-04-01,80.209999,81.690002,79.559998,80.870003,80.870003,2723200
2019-04-02,83.190002,85.099998,82.339996,82.769997,82.769997,3795100
2019-04-03,83.250000,84.919998,83.099998,84.199997,84.199997,4047800
2019-04-04,84.510002,85.269997,83.540001,84.639999,84.639999,1748400
2019-04-05,84.949997,85.750000,84.519997,84.910004,84.910004,3018100
2019-04-08,84.599998,85.120003,83.800003,84.580002,84.580002,1853000
2019-04-09,84.089996,84.639999,83.459999,84.250000,84.250000,2016700
2019-04-10,85.330002,85.550003,83.610001,84.519997,84.519997,3547300
2019-04-11,84.559998,86.419998,84.559998,85.750000,85.750000,2570200
2019-04-12,86.190002,86.500000,85.300003,85.489998,85.489998,4507500
2019-04-15,85.309998,85.430000,84.080002,84.519997,84.519997,2324200
2019-04-16,84.809998,85.669998,84.389999,85.169998,85.169998,3747800
2019-04-17,87.940002,89.730003,87.290001,89.239998,89.239998,6963700
2019-04-18,89.669998,89.809998,87.459999,88.279999,88.279999,3508300
2019-04-22,87.769997,88.550003,87.150002,87.559998,87.559998,2060600
2019-04-23,87.489998,88.500000,87.260002,87.970001,87.970001,2220800
2019-04-24,88.099998,88.959999,87.610001,88.029999,88.029999,2049900
2019-04-25,87.570000,89.150002,86.669998,86.860001,86.860001,2152800
2019-04-26,86.559998,88.430000,86.489998,87.940002,87.940002,1544900
2019-04-29,88.019997,89.879997,88.019997,89.610001,89.610001,2561900
2019-04-30,89.660004,90.160004,88.639999,88.860001,88.860001,2688200
2019-05-01,89.059998,89.709999,87.779999,87.940002,87.940002,2239600
2019-05-02,88.059998,89.290001,88.010002,88.309998,88.309998,1868600
2019-05-03,88.500000,89.059998,88.269997,88.500000,88.500000,1165000
2019-05-06,87.139999,88.029999,86.519997,87.790001,87.790001,1620400
2019-05-07,86.750000,86.760002,84.620003,85.680000,85.680000,2400000
2019-05-08,85.250000,86.089996,84.250000,84.639999,84.639999,1900500
2019-05-09,83.839996,84.150002,81.809998,84.120003,84.120003,2329000
2019-05-10,83.500000,85.190002,80.989998,84.790001,84.790001,2841900
2019-05-13,83.029999,83.190002,81.440002,82.070000,82.070000,3908100
2019-05-14,82.260002,83.769997,81.930000,83.449997,83.449997,1928500
2019-05-15,82.400002,83.269997,81.330002,82.349998,82.349998,2371000
2019-05-16,82.419998,83.650002,82.050003,82.580002,82.580002,1803300
2019-05-17,82.129997,82.470001,81.230003,81.500000,81.500000,2857900
2019-05-20,81.389999,82.480003,81.000000,81.739998,81.739998,2355600
2019-05-21,82.500000,83.370003,82.419998,82.970001,82.970001,2162600
2019-05-22,82.400002,83.000000,81.699997,81.879997,81.879997,1505800
2019-05-23,81.300003,81.959999,79.769997,80.910004,80.910004,2231100
2019-05-24,81.250000,81.750000,80.470001,80.790001,80.790001,2266300
2019-05-28,80.500000,80.790001,79.660004,79.900002,79.900002,2242100
2019-05-29,79.500000,79.529999,78.099998,79.250000,79.250000,3133100
2019-05-30,79.290001,80.400002,79.040001,79.470001,79.470001,1528900
2019-05-31,78.519997,79.519997,77.400002,77.650002,77.650002,3553800
2019-06-03,77.379997,78.730003,77.349998,77.720001,77.720001,2065200
2019-06-04,78.860001,80.669998,78.550003,80.519997,80.519997,3026500
2019-06-05,80.940002,81.980003,80.489998,81.849998,81.849998,2002500
2019-06-06,83.139999,84.010002,81.930000,82.959999,82.959999,2390200
2019-06-07,83.089996,84.849998,83.089996,83.269997,83.269997,1475700
2019-06-10,83.620003,84.540001,82.570000,82.669998,82.669998,1697800
2019-06-11,83.339996,83.779999,82.070000,82.769997,82.769997,1894400
2019-06-12,82.860001,84.290001,82.839996,83.790001,83.790001,1999800
2019-06-13,84.050003,87.739998,84.050003,87.110001,87.110001,3864900
2019-06-14,87.070000,87.910004,86.010002,87.120003,87.120003,1652500
2019-06-17,87.269997,87.559998,86.309998,86.769997,86.769997,1820600
2019-06-18,87.419998,88.660004,87.110001,87.400002,87.400002,1694100
2019-06-19,87.760002,88.879997,87.139999,88.660004,88.660004,2091600
2019-06-20,89.320000,89.410004,85.889999,87.139999,87.139999,3261900
2019-06-21,86.309998,88.160004,86.309998,86.720001,86.720001,2461900
2019-06-24,86.779999,87.110001,86.059998,86.550003,86.550003,1507800
2019-06-25,86.629997,87.230003,84.809998,85.059998,85.059998,2480900
2019-06-26,85.379997,85.809998,84.750000,85.330002,85.330002,2034700
